,domain,phylum,class,order,family,genus,species
ASV_1296,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1297,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1298,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade,NA
ASV_1299,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Motiliproteus,NA
ASV_1300,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_1301,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,NA,NA
ASV_1302,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,NA
ASV_1303,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
ASV_1304,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_1305,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1306,NA,NA,NA,NA,NA,NA,NA
ASV_1307,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia-Loktanella,NA
ASV_1308,Bacteria,Proteobacteria,Alphaproteobacteria,NRL2,NA,NA,NA
ASV_1309,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1310,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens,NA
ASV_1311,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_1312,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1313,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1314,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA
ASV_1315,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1316,Bacteria,Cyanobacteria,Sericytochromatia,NA,NA,NA,NA
ASV_1317,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
ASV_1318,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_1319,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_1320,NA,NA,NA,NA,NA,NA,NA
ASV_1321,NA,NA,NA,NA,NA,NA,NA
ASV_1322,NA,NA,NA,NA,NA,NA,NA
ASV_1323,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudahrensia,NA
ASV_1324,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA
ASV_1325,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1326,NA,NA,NA,NA,NA,NA,NA
ASV_1327,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1328,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1329,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV_1330,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_1331,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1332,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a marine group,NA
ASV_1333,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV_1334,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1335,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a marine group,NA
ASV_1336,NA,NA,NA,NA,NA,NA,NA
ASV_1337,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV_1338,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1339,NA,NA,NA,NA,NA,NA,NA
ASV_1340,NA,NA,NA,NA,NA,NA,NA
ASV_1341,NA,NA,NA,NA,NA,NA,NA
ASV_1342,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_1343,NA,NA,NA,NA,NA,NA,NA
ASV_1344,Bacteria,PAUC34f,NA,NA,NA,NA,NA
ASV_1345,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,NA
ASV_1346,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1347,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1348,NA,NA,NA,NA,NA,NA,NA
ASV_1349,NA,NA,NA,NA,NA,NA,NA
ASV_1350,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1351,NA,NA,NA,NA,NA,NA,NA
ASV_1352,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
ASV_1353,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1354,NA,NA,NA,NA,NA,NA,NA
ASV_1355,NA,NA,NA,NA,NA,NA,NA
ASV_1356,NA,NA,NA,NA,NA,NA,NA
ASV_1357,NA,NA,NA,NA,NA,NA,NA
ASV_1358,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,NA
ASV_1359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1360,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,NA
ASV_1361,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV_1362,NA,NA,NA,NA,NA,NA,NA
ASV_1363,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1364,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1365,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
ASV_1366,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bythopirellula,NA
ASV_1367,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1368,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA
ASV_1369,Bacteria,Planctomycetota,Pla3 lineage,NA,NA,NA,NA
ASV_1370,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
ASV_1371,Bacteria,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_1372,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,NA
ASV_1373,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1374,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1375,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1376,NA,NA,NA,NA,NA,NA,NA
ASV_1377,NA,NA,NA,NA,NA,NA,NA
ASV_1378,NA,NA,NA,NA,NA,NA,NA
ASV_1379,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,NA
ASV_1380,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
ASV_1381,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_1382,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_1383,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_1384,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,NA
ASV_1385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1386,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
ASV_1387,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,NA
ASV_1388,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
ASV_1389,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA
ASV_1390,NA,NA,NA,NA,NA,NA,NA
ASV_1391,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
ASV_1392,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1393,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia-Loktanella,NA
ASV_1394,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
ASV_1395,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
ASV_1396,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Flammeovirgaceae,Flexithrix,NA
ASV_1397,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_1398,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_1399,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1400,NA,NA,NA,NA,NA,NA,NA
ASV_1401,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_1402,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_1403,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1404,NA,NA,NA,NA,NA,NA,NA
ASV_1405,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,NA
ASV_1406,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_1407,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,NA
ASV_1408,NA,NA,NA,NA,NA,NA,NA
ASV_1409,NA,NA,NA,NA,NA,NA,NA
ASV_1410,Bacteria,Firmicutes,Bacilli,NA,NA,NA,NA
ASV_1411,NA,NA,NA,NA,NA,NA,NA
ASV_1412,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
ASV_1413,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade,NA
ASV_1414,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
ASV_1415,NA,NA,NA,NA,NA,NA,NA
ASV_1416,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_1417,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV_1418,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
ASV_1419,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1420,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_1421,NA,NA,NA,NA,NA,NA,NA
ASV_1422,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulforhopalus,NA
ASV_1423,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1424,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1425,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1426,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
ASV_1427,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1428,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,NA
ASV_1429,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_1430,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
ASV_1431,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_1432,NA,NA,NA,NA,NA,NA,NA
ASV_1433,NA,NA,NA,NA,NA,NA,NA
ASV_1434,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1435,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family_4,Marinicella,NA
ASV_1436,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
ASV_1437,NA,NA,NA,NA,NA,NA,NA
ASV_1438,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_1439,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1440,NA,NA,NA,NA,NA,NA,NA
ASV_1441,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,NA,NA,NA,NA
ASV_1442,Bacteria,Planctomycetota,NA,NA,NA,NA,NA
ASV_1443,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1444,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_1445,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1446,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum,NA
ASV_1447,NA,NA,NA,NA,NA,NA,NA
ASV_1448,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,NA
ASV_1449,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
ASV_1450,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1451,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_1452,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,NA
ASV_1453,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA
ASV_1454,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA
ASV_1455,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
ASV_1456,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1457,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella,NA
ASV_1458,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_1459,NA,NA,NA,NA,NA,NA,NA
ASV_1460,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1461,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bythopirellula,NA
ASV_1462,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1463,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1464,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
ASV_1465,NA,NA,NA,NA,NA,NA,NA
ASV_1466,NA,NA,NA,NA,NA,NA,NA
ASV_1467,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_1468,NA,NA,NA,NA,NA,NA,NA
ASV_1469,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Aliikangiella,NA
ASV_1470,Bacteria,Proteobacteria,Gammaproteobacteria,CHAB-XI-27,NA,NA,NA
ASV_1471,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
ASV_1472,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV_1473,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_1474,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1475,NA,NA,NA,NA,NA,NA,NA
ASV_1476,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1477,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1478,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1479,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA
ASV_1480,Bacteria,Planctomycetota,Pla3 lineage,NA,NA,NA,NA
ASV_1481,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1482,NA,NA,NA,NA,NA,NA,NA
ASV_1483,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,NA
ASV_1484,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_1485,NA,NA,NA,NA,NA,NA,NA
ASV_1486,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_1487,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,NA
ASV_1488,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1489,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Reichenbachiella,NA
ASV_1490,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1491,Bacteria,Planctomycetota,BD7-11,NA,NA,NA,NA
ASV_1492,NA,NA,NA,NA,NA,NA,NA
ASV_1493,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum,NA
ASV_1494,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,NA,NA
ASV_1495,Bacteria,Proteobacteria,Alphaproteobacteria,AT-s3-44,NA,NA,NA
ASV_1496,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
ASV_1497,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,NA,NA,NA
ASV_1498,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,NA
ASV_1499,NA,NA,NA,NA,NA,NA,NA
ASV_1500,NA,NA,NA,NA,NA,NA,NA
ASV_1501,NA,NA,NA,NA,NA,NA,NA
ASV_1502,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,NA
ASV_1503,NA,NA,NA,NA,NA,NA,NA
ASV_1504,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_1505,NA,NA,NA,NA,NA,NA,NA
ASV_1506,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA
ASV_1507,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,NA
ASV_1508,NA,NA,NA,NA,NA,NA,NA
ASV_1509,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,NA
ASV_1510,NA,NA,NA,NA,NA,NA,NA
ASV_1511,NA,NA,NA,NA,NA,NA,NA
ASV_1512,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1513,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1514,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
ASV_1515,NA,NA,NA,NA,NA,NA,NA
ASV_1516,NA,NA,NA,NA,NA,NA,NA
ASV_1517,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_1518,NA,NA,NA,NA,NA,NA,NA
ASV_1519,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1520,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,NA
ASV_1521,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA
ASV_1522,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1523,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV_1524,NA,NA,NA,NA,NA,NA,NA
ASV_1525,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA
ASV_1526,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_1527,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1528,NA,NA,NA,NA,NA,NA,NA
ASV_1529,Bacteria,Planctomycetota,BD7-11,NA,NA,NA,NA
ASV_1530,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,NA
ASV_1531,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA
ASV_1532,NA,NA,NA,NA,NA,NA,NA
ASV_1533,NA,NA,NA,NA,NA,NA,NA
ASV_1534,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_1535,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_1536,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_1537,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_1538,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_1539,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,NA,NA
ASV_1540,Bacteria,Acidobacteriota,Acidobacteriae,PAUC26f,NA,NA,NA
ASV_1541,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
ASV_1542,NA,NA,NA,NA,NA,NA,NA
ASV_1543,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC AAA164-E04,NA
ASV_1544,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,NA
ASV_1545,NA,NA,NA,NA,NA,NA,NA
ASV_1546,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1547,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1548,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ahrensia,NA
ASV_1549,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA
ASV_1550,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1551,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Marimicrobium,NA
ASV_1552,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1553,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1554,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1555,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1556,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,NA
ASV_1557,NA,NA,NA,NA,NA,NA,NA
ASV_1558,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_1559,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1560,NA,NA,NA,NA,NA,NA,NA
ASV_1561,NA,NA,NA,NA,NA,NA,NA
ASV_1562,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,NA
ASV_1563,NA,NA,NA,NA,NA,NA,NA
ASV_1564,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,NA,NA
ASV_1565,NA,NA,NA,NA,NA,NA,NA
ASV_1566,Bacteria,NA,NA,NA,NA,NA,NA
ASV_1567,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_1568,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_1569,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
ASV_1570,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1571,NA,NA,NA,NA,NA,NA,NA
ASV_1572,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter,NA
ASV_1573,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA
ASV_1574,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,NA
ASV_1575,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1576,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_1577,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1578,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea,NA
ASV_1579,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,NA
ASV_1580,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA
ASV_1581,NA,NA,NA,NA,NA,NA,NA
ASV_1582,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_1583,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_1584,NA,NA,NA,NA,NA,NA,NA
ASV_1585,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
ASV_1586,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,NA
ASV_1587,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_1588,NA,NA,NA,NA,NA,NA,NA
ASV_1589,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Roseimaritima,NA
ASV_1590,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
